start|end|speaker_id|duration|text
0.031|1.1949999999999998|SPEAKER_00|1.164|다시 말해봐
2.748|5.836|SPEAKER_01|3.088|일단 내가 이천원 먼저 보내줄테니깐
7.27|8.721|SPEAKER_00|1.4510000000000005|1만 2천원 나중에 보내줄게 왜 또 줄어 가격이
9.143|11.691|SPEAKER_01|2.548|그만 그렇게 말하면 하지너 왔다며
10.308|15.556000000000001|SPEAKER_00|5.248000000000001|아니 그냥 만원 보내주고
16.012|26.541|SPEAKER_01|10.529|오천원 나중에 돼 12,000원12,000원12,000원아니 천 원이 하자 12,000원에 2,000원아니 천원이 뭐 그 자조 저건 많이 터러 12,000원은 그냥 12,000원에 3해 너도 삼촌은 그게 아쉬워?
27.537|30.253999999999998|SPEAKER_00|2.7169999999999987|아니 나는 지금 많이 희생했잖아
30.372|34.591|SPEAKER_01|4.219000000000001|나는 3천은 내 버스비긴 해가지고 내 교통비라서 아쉬워놔 3천원이 그걸 나중에 내면 된다니까
34.591|34.777|SPEAKER_00|0.18599999999999994|
34.642|36.195|SPEAKER_01|1.5529999999999973|
38.371|44.649|SPEAKER_00|6.277999999999999|지금 내라는 게 아니냐 몇 번을 말해?
45.053|49.323|SPEAKER_01|4.270000000000003|언제? 한 보려면 계속 두 달은 기다려야 되는데
49.745|52.934|SPEAKER_00|3.189|
55.077|64.763|SPEAKER_01|9.686000000000007|그건 니가 그냥 일을 안 하는 거네 돈 없다고 찡찡대면서 일단 머리 자르고 돈을 보내주던 연락을 할게있는 돈부터 계산을 해봐야 될 거 아니야
66.856|73.656|SPEAKER_00|6.800000000000011|남는 돈이 얼마인지 계산 안될 수 있잖아 일단 뭐 뭐가 됐든 이따 말해그래, 오뽀가 되겠네
74.045|74.821|SPEAKER_01|0.7759999999999962|엇? 엇보는 아니고
